,cust,grade,t,y
141,12,1,9,3
142,12,1,10,0
143,12,1,11,0
144,12,1,12,1
145,13,1,1,0
146,13,1,2,1
147,13,1,3,0
148,13,1,4,0
149,13,1,5,2
150,13,1,6,1
151,13,1,7,0
152,13,1,8,0
153,13,1,9,0
154,13,1,10,0
155,13,1,11,0
156,13,1,12,1
157,14,1,1,0
158,14,1,2,0
159,14,1,3,1
160,14,1,4,0
161,14,1,5,0
162,14,1,6,1
163,14,1,7,1
164,14,1,8,1
165,14,1,9,0
166,14,1,10,0
167,14,1,11,1
168,14,1,12,0
169,15,0,1,0
170,15,0,2,0
171,15,0,3,0
172,15,0,4,0
173,15,0,5,0
174,15,0,6,0
175,15,0,7,0
176,15,0,8,0
177,15,0,9,0
178,15,0,10,0
179,15,0,11,0
180,15,0,12,0
181,16,1,1,0
182,16,1,2,0
183,16,1,3,1
184,16,1,4,0
185,16,1,5,0
186,16,1,6,0
187,16,1,7,1
188,16,1,8,0
189,16,1,9,0
190,16,1,10,0
191,16,1,11,0
192,16,1,12,0
193,17,0,1,0
194,17,0,2,0
195,17,0,3,0
196,17,0,4,0
197,17,0,5,0
198,17,0,6,0
199,17,0,7,0
200,17,0,8,0
201,17,0,9,0
202,17,0,10,0
203,17,0,11,0
204,17,0,12,0
205,18,1,1,2
206,18,1,2,2
207,18,1,3,2
208,18,1,4,2
209,18,1,5,0
210,18,1,6,0
211,18,1,7,0
212,18,1,8,1
213,18,1,9,0
214,18,1,10,0
215,18,1,11,0
216,18,1,12,0
217,19,1,1,1
218,19,1,2,2
219,19,1,3,2
220,19,1,4,1
221,19,1,5,1
222,19,1,6,2
223,19,1,7,2
224,19,1,8,2
225,19,1,9,0
226,19,1,10,1
227,19,1,11,0
228,19,1,12,0
229,20,0,1,0
230,20,0,2,0
231,20,0,3,0
232,20,0,4,0
233,20,0,5,0
234,20,0,6,0
235,20,0,7,0
236,20,0,8,0
237,20,0,9,0
238,20,0,10,0
239,20,0,11,0
240,20,0,12,0
241,21,1,1,0
242,21,1,2,2
243,21,1,3,1
244,21,1,4,1
245,21,1,5,1
246,21,1,6,0
247,21,1,7,0
248,21,1,8,2
249,21,1,9,2
250,21,1,10,1
251,21,1,11,0
252,21,1,12,0
253,22,1,1,1
254,22,1,2,1
255,22,1,3,1
256,22,1,4,1
257,22,1,5,0
258,22,1,6,0
259,22,1,7,1
260,22,1,8,1
261,22,1,9,1
262,22,1,10,1
263,22,1,11,0
264,22,1,12,0
265,23,1,1,1
266,23,1,2,1
267,23,1,3,1
268,23,1,4,1
269,23,1,5,2
270,23,1,6,3
271,23,1,7,2
272,23,1,8,2
273,23,1,9,2
274,23,1,10,1
275,23,1,11,0
276,23,1,12,0
277,24,1,1,1
278,24,1,2,1
279,24,1,3,1
280,24,1,4,1
281,24,1,5,0
282,24,1,6,0
283,24,1,7,0
284,24,1,8,0
285,24,1,9,1
286,24,1,10,0
287,24,1,11,0
288,24,1,12,1
289,25,0,1,0
290,25,0,2,0
291,25,0,3,0
292,25,0,4,0
293,25,0,5,0
294,25,0,6,0
295,25,0,7,0
296,25,0,8,0
297,25,0,9,0
298,25,0,10,0
299,25,0,11,0
300,25,0,12,0
301,26,1,1,0
302,26,1,2,0
303,26,1,3,1
304,26,1,4,0
305,26,1,5,0
306,26,1,6,1
307,26,1,7,0
308,26,1,8,1
309,26,1,9,1
310,26,1,10,1
311,26,1,11,1
312,26,1,12,0
313,27,1,1,0
314,27,1,2,0
315,27,1,3,2
316,27,1,4,2
317,27,1,5,1
318,27,1,6,0
319,27,1,7,1
320,27,1,8,0
321,27,1,9,0
322,27,1,10,0
323,27,1,11,0
324,27,1,12,0
325,28,1,1,1
326,28,1,2,0
327,28,1,3,0
328,28,1,4,0
329,28,1,5,0
330,28,1,6,1
331,28,1,7,2
332,28,1,8,1
333,28,1,9,0
334,28,1,10,0
335,28,1,11,0
336,28,1,12,0
337,29,1,1,0
338,29,1,2,0
339,29,1,3,0
340,29,1,4,1
341,29,1,5,1
342,29,1,6,2
343,29,1,7,1
344,29,1,8,0
345,29,1,9,1
346,29,1,10,0
347,29,1,11,1
348,29,1,12,1
349,30,1,1,1
350,30,1,2,2
351,30,1,3,2
352,30,1,4,1
353,30,1,5,0
354,30,1,6,0
355,30,1,7,0
356,30,1,8,2
357,30,1,9,2
358,30,1,10,1
359,30,1,11,1
360,30,1,12,0
361,31,1,1,0
362,31,1,2,0
363,31,1,3,0
364,31,1,4,1
365,31,1,5,0
366,31,1,6,1
367,31,1,7,0
368,31,1,8,0
369,31,1,9,0
370,31,1,10,1
371,31,1,11,0
372,31,1,12,0
373,32,1,1,0
374,32,1,2,1
375,32,1,3,0
376,32,1,4,0
377,32,1,5,0
378,32,1,6,1
379,32,1,7,1
380,32,1,8,0
381,32,1,9,0
382,32,1,10,2
383,32,1,11,0
384,32,1,12,0
385,33,1,1,0
386,33,1,2,1
387,33,1,3,0
388,33,1,4,0
389,33,1,5,2
390,33,1,6,0
391,33,1,7,1
392,33,1,8,1
393,33,1,9,2
394,33,1,10,1
395,33,1,11,1
396,33,1,12,0
397,34,1,1,0
398,34,1,2,0
399,34,1,3,0
400,34,1,4,0
401,34,1,5,0
402,34,1,6,1
403,34,1,7,0
404,34,1,8,1
405,34,1,9,0
406,34,1,10,2
407,34,1,11,2
408,34,1,12,1
409,35,0,1,0
410,35,0,2,0
411,35,0,3,0
412,35,0,4,0
413,35,0,5,0
414,35,0,6,0
415,35,0,7,1
416,35,0,8,2
417,35,0,9,3
418,35,0,10,3
419,35,0,11,3
420,35,0,12,3
421,36,1,1,1
422,36,1,2,0
423,36,1,3,0
424,36,1,4,2
425,36,1,5,1
426,36,1,6,3
427,36,1,7,2
428,36,1,8,2
429,36,1,9,1
430,36,1,10,1
431,36,1,11,1
432,36,1,12,2
433,37,0,1,0
434,37,0,2,0
435,37,0,3,0
436,37,0,4,0
437,37,0,5,0
438,37,0,6,0
439,37,0,7,0
440,37,0,8,0
441,37,0,9,0
442,37,0,10,0
443,37,0,11,0
444,37,0,12,0
445,38,1,1,1
446,38,1,2,0
447,38,1,3,1
448,38,1,4,1
449,38,1,5,0
450,38,1,6,0
451,38,1,7,0
452,38,1,8,0
453,38,1,9,1
454,38,1,10,0
455,38,1,11,0
456,38,1,12,0
457,39,1,1,1
458,39,1,2,0
459,39,1,3,0
460,39,1,4,0
461,39,1,5,0
462,39,1,6,0
463,39,1,7,0
464,39,1,8,1
465,39,1,9,0
466,39,1,10,0
467,39,1,11,0
468,39,1,12,1
469,40,1,1,0
470,40,1,2,2
471,40,1,3,2
472,40,1,4,0
473,40,1,5,0
474,40,1,6,0
475,40,1,7,2
476,40,1,8,1
477,40,1,9,1
478,40,1,10,3
479,40,1,11,3
480,40,1,12,3
481,41,0,1,0
482,41,0,2,0
483,41,0,3,0
484,41,0,4,0
485,41,0,5,0
486,41,0,6,0
487,41,0,7,0
488,41,0,8,1
489,41,0,9,2
490,41,0,10,0
491,41,0,11,0
492,41,0,12,0
493,42,1,1,1
494,42,1,2,0
495,42,1,3,0
496,42,1,4,0
497,42,1,5,0
498,42,1,6,1
499,42,1,7,2
500,42,1,8,0
501,42,1,9,0
502,42,1,10,1
503,42,1,11,0
504,42,1,12,1
505,43,1,1,0
506,43,1,2,0
507,43,1,3,1
508,43,1,4,0
509,43,1,5,0
510,43,1,6,2
511,43,1,7,2
512,43,1,8,2
513,43,1,9,1
514,43,1,10,0
515,43,1,11,0
516,43,1,12,1
517,44,1,1,0
518,44,1,2,1
519,44,1,3,1
520,44,1,4,0
521,44,1,5,0
522,44,1,6,0
523,44,1,7,1
524,44,1,8,0
525,44,1,9,1
526,44,1,10,1
527,44,1,11,1
528,44,1,12,1
529,45,0,1,0
530,45,0,2,0
531,45,0,3,0
532,45,0,4,0
533,45,0,5,0
534,45,0,6,0
535,45,0,7,0
536,45,0,8,1
537,45,0,9,0
538,45,0,10,1
539,45,0,11,2
540,45,0,12,3
541,46,0,1,1
542,46,0,2,2
543,46,0,3,3
544,46,0,4,3
545,46,0,5,3
546,46,0,6,3
547,46,0,7,3
548,46,0,8,3
549,46,0,9,3
550,46,0,10,3
551,46,0,11,3
552,46,0,12,3
553,47,1,1,0
554,47,1,2,0
555,47,1,3,1
556,47,1,4,2
557,47,1,5,2
558,47,1,6,1
559,47,1,7,0
560,47,1,8,0
561,47,1,9,2
562,47,1,10,2
563,47,1,11,2
564,47,1,12,1
565,48,1,1,0
566,48,1,2,1
567,48,1,3,0
568,48,1,4,0
569,48,1,5,1
570,48,1,6,1
571,48,1,7,0
572,48,1,8,1
573,48,1,9,1
574,48,1,10,0
575,48,1,11,2
576,48,1,12,0
577,49,1,1,2
578,49,1,2,2
579,49,1,3,2
580,49,1,4,3
581,49,1,5,3
582,49,1,6,2
583,49,1,7,2
584,49,1,8,2
585,49,1,9,2
586,49,1,10,2
587,49,1,11,2
588,49,1,12,2
589,50,1,1,1
590,50,1,2,0
591,50,1,3,2
592,50,1,4,2
593,50,1,5,2
594,50,1,6,3
595,50,1,7,3
596,50,1,8,3
597,50,1,9,1
598,50,1,10,1
599,50,1,11,3
600,50,1,12,3
601,51,1,1,1
602,51,1,2,1
603,51,1,3,1
604,51,1,4,0
605,51,1,5,0
606,51,1,6,0
607,51,1,7,1
608,51,1,8,0
609,51,1,9,0
610,51,1,10,1
611,51,1,11,1
612,51,1,12,1
613,52,1,1,0
614,52,1,2,0
615,52,1,3,1
616,52,1,4,1
617,52,1,5,1
618,52,1,6,0
619,52,1,7,0
620,52,1,8,1
621,52,1,9,3
622,52,1,10,1
623,52,1,11,0
624,52,1,12,0
625,53,0,1,0
626,53,0,2,0
627,53,0,3,0
628,53,0,4,0
629,53,0,5,0
630,53,0,6,0
631,53,0,7,0
632,53,0,8,0
633,53,0,9,0
634,53,0,10,0
635,53,0,11,0
636,53,0,12,0
637,54,1,1,0
638,54,1,2,0
639,54,1,3,1
640,54,1,4,0
641,54,1,5,0
642,54,1,6,2
643,54,1,7,1
644,54,1,8,2
645,54,1,9,2
646,54,1,10,1
647,54,1,11,1
648,54,1,12,0
649,55,1,1,2
650,55,1,2,0
651,55,1,3,1
652,55,1,4,3
653,55,1,5,1
654,55,1,6,0
655,55,1,7,2
656,55,1,8,2
657,55,1,9,3
658,55,1,10,3
659,55,1,11,2
660,55,1,12,2
661,56,1,1,0
662,56,1,2,0
663,56,1,3,1
664,56,1,4,0
665,56,1,5,0
666,56,1,6,0
667,56,1,7,1
668,56,1,8,1
669,56,1,9,0
670,56,1,10,0
671,56,1,11,0
672,56,1,12,0
673,57,1,1,0
674,57,1,2,0
675,57,1,3,1
676,57,1,4,0
677,57,1,5,1
678,57,1,6,0
679,57,1,7,1
680,57,1,8,0
681,57,1,9,0
682,57,1,10,1
683,57,1,11,0
684,57,1,12,0
685,58,0,1,0
686,58,0,2,0
687,58,0,3,0
688,58,0,4,0
689,58,0,5,0
690,58,0,6,0
691,58,0,7,0
692,58,0,8,0
693,58,0,9,0
694,58,0,10,0
695,58,0,11,0
696,58,0,12,0
697,59,0,1,1
698,59,0,2,2
699,59,0,3,0
700,59,0,4,0
701,59,0,5,0
702,59,0,6,0
703,59,0,7,0
704,59,0,8,0
705,59,0,9,0
706,59,0,10,1
707,59,0,11,2
708,59,0,12,3
709,60,0,1,0
710,60,0,2,0
711,60,0,3,0
712,60,0,4,0
713,60,0,5,0
714,60,0,6,0
715,60,0,7,0
716,60,0,8,0
717,60,0,9,0
718,60,0,10,0
719,60,0,11,1
720,60,0,12,2
721,61,0,1,0
722,61,0,2,0
723,61,0,3,0
724,61,0,4,0
725,61,0,5,0
726,61,0,6,0
727,61,0,7,0
728,61,0,8,0
729,61,0,9,0
730,61,0,10,0
731,61,0,11,0
732,61,0,12,0
733,62,1,1,0
734,62,1,2,0
735,62,1,3,0
736,62,1,4,1
737,62,1,5,0
738,62,1,6,0
739,62,1,7,0
740,62,1,8,0
741,62,1,9,0
742,62,1,10,0
743,62,1,11,0
744,62,1,12,0
745,63,1,1,1
746,63,1,2,0
747,63,1,3,0
748,63,1,4,1
749,63,1,5,0
750,63,1,6,0
751,63,1,7,2
752,63,1,8,3
753,63,1,9,2
754,63,1,10,2
755,63,1,11,0
756,63,1,12,0
757,64,1,1,0
758,64,1,2,0
759,64,1,3,1
760,64,1,4,0
761,64,1,5,0
762,64,1,6,1
763,64,1,7,1
764,64,1,8,0
765,64,1,9,1
766,64,1,10,0
767,64,1,11,0
768,64,1,12,2
769,65,1,1,0
770,65,1,2,0
771,65,1,3,0
772,65,1,4,0
773,65,1,5,1
774,65,1,6,0
775,65,1,7,0
776,65,1,8,0
777,65,1,9,1
778,65,1,10,0
779,65,1,11,0
780,65,1,12,1
781,66,1,1,2
782,66,1,2,2
783,66,1,3,3
784,66,1,4,2
785,66,1,5,1
786,66,1,6,2
787,66,1,7,1
788,66,1,8,1
789,66,1,9,0
790,66,1,10,1
791,66,1,11,0
792,66,1,12,0
793,67,1,1,0
794,67,1,2,2
795,67,1,3,3
796,67,1,4,1
797,67,1,5,0
798,67,1,6,0
799,67,1,7,0
800,67,1,8,1
801,67,1,9,0
802,67,1,10,0
803,67,1,11,0
804,67,1,12,0
805,68,1,1,0
806,68,1,2,0
807,68,1,3,0
808,68,1,4,0
809,68,1,5,0
810,68,1,6,1
811,68,1,7,1
812,68,1,8,1
813,68,1,9,1
814,68,1,10,1
815,68,1,11,1
816,68,1,12,0
817,69,1,1,0
818,69,1,2,1
819,69,1,3,1
820,69,1,4,1
821,69,1,5,1
822,69,1,6,2
823,69,1,7,1
824,69,1,8,2
825,69,1,9,2
826,69,1,10,1
827,69,1,11,1
828,69,1,12,0
829,70,1,1,1
830,70,1,2,0
831,70,1,3,1
832,70,1,4,0
833,70,1,5,0
834,70,1,6,1
835,70,1,7,1
836,70,1,8,0
837,70,1,9,0
838,70,1,10,0
839,70,1,11,2
840,70,1,12,2
841,71,1,1,0
842,71,1,2,0
843,71,1,3,0
844,71,1,4,1
845,71,1,5,0
846,71,1,6,0
847,71,1,7,1
848,71,1,8,0
849,71,1,9,0
850,71,1,10,0
851,71,1,11,0
852,71,1,12,1
853,72,0,1,0
854,72,0,2,0
855,72,0,3,0
856,72,0,4,0
857,72,0,5,0
858,72,0,6,0
859,72,0,7,0
860,72,0,8,0
861,72,0,9,0
862,72,0,10,0
863,72,0,11,0
864,72,0,12,0
865,73,0,1,0
866,73,0,2,0
867,73,0,3,0
868,73,0,4,0
869,73,0,5,0
870,73,0,6,0
871,73,0,7,1
872,73,0,8,2
873,73,0,9,3
874,73,0,10,3
875,73,0,11,3
876,73,0,12,3
877,74,1,1,1
878,74,1,2,1
879,74,1,3,2
880,74,1,4,2
881,74,1,5,0
882,74,1,6,1
883,74,1,7,1
884,74,1,8,0
885,74,1,9,1
886,74,1,10,1
887,74,1,11,0
888,74,1,12,1
889,75,1,1,0
890,75,1,2,1
891,75,1,3,0
892,75,1,4,0
893,75,1,5,2
894,75,1,6,0
895,75,1,7,1
896,75,1,8,0
897,75,1,9,0
898,75,1,10,2
899,75,1,11,1
900,75,1,12,1
901,76,0,1,0
902,76,0,2,0
903,76,0,3,0
904,76,0,4,0
905,76,0,5,0
906,76,0,6,0
907,76,0,7,0
908,76,0,8,0
909,76,0,9,0
910,76,0,10,0
911,76,0,11,0
912,76,0,12,0
913,77,1,1,0
914,77,1,2,1
915,77,1,3,0
916,77,1,4,0
917,77,1,5,1
918,77,1,6,0
919,77,1,7,1
920,77,1,8,0
921,77,1,9,1
922,77,1,10,0
923,77,1,11,0
924,77,1,12,1
925,78,1,1,2
926,78,1,2,1
927,78,1,3,1
928,78,1,4,0
929,78,1,5,0
930,78,1,6,2
931,78,1,7,1
932,78,1,8,0
933,78,1,9,1
934,78,1,10,0
935,78,1,11,0
936,78,1,12,1
937,79,1,1,1
938,79,1,2,1
939,79,1,3,2
940,79,1,4,2
941,79,1,5,2
942,79,1,6,1
943,79,1,7,0
944,79,1,8,0
945,79,1,9,0
946,79,1,10,0
947,79,1,11,0
948,79,1,12,1
949,80,0,1,0
950,80,0,2,0
951,80,0,3,0
952,80,0,4,0
953,80,0,5,0
954,80,0,6,0
955,80,0,7,0
956,80,0,8,0
957,80,0,9,0
958,80,0,10,0
959,80,0,11,0
960,80,0,12,0
961,81,1,1,0
962,81,1,2,0
963,81,1,3,0
964,81,1,4,0
965,81,1,5,0
966,81,1,6,1
967,81,1,7,0
968,81,1,8,0
969,81,1,9,1
970,81,1,10,1
971,81,1,11,0
972,81,1,12,2
973,82,1,1,0
974,82,1,2,1
975,82,1,3,1
976,82,1,4,1
977,82,1,5,0
978,82,1,6,0
979,82,1,7,0
980,82,1,8,0
981,82,1,9,1
982,82,1,10,0
983,82,1,11,0
984,82,1,12,1
985,83,1,1,0
986,83,1,2,0
987,83,1,3,1
988,83,1,4,1
989,83,1,5,2
990,83,1,6,1
991,83,1,7,2
992,83,1,8,2
993,83,1,9,3
994,83,1,10,2
995,83,1,11,1
996,83,1,12,0
997,84,0,1,0
998,84,0,2,0
999,84,0,3,0
1000,84,0,4,0
1001,84,0,5,0
1002,84,0,6,0
1003,84,0,7,0
1004,84,0,8,0
1005,84,0,9,0
1006,84,0,10,0
1007,84,0,11,0
1008,84,0,12,0
1009,85,1,1,1
1010,85,1,2,1
1011,85,1,3,1
1012,85,1,4,1
1013,85,1,5,0
1014,85,1,6,1
1015,85,1,7,0
1016,85,1,8,0
1017,85,1,9,0
1018,85,1,10,0
1019,85,1,11,0
1020,85,1,12,0
1021,86,1,1,0
1022,86,1,2,2
1023,86,1,3,2
1024,86,1,4,2
1025,86,1,5,1
1026,86,1,6,1
1027,86,1,7,1
1028,86,1,8,1
1029,86,1,9,1
1030,86,1,10,1
1031,86,1,11,0
1032,86,1,12,1
1033,87,1,1,0
1034,87,1,2,0
1035,87,1,3,0
1036,87,1,4,1
1037,87,1,5,1
1038,87,1,6,0
1039,87,1,7,0
1040,87,1,8,1
1041,87,1,9,0
1042,87,1,10,0
1043,87,1,11,2
1044,87,1,12,2
1045,88,0,1,0
1046,88,0,2,0
1047,88,0,3,0
1048,88,0,4,0
1049,88,0,5,1
1050,88,0,6,2
1051,88,0,7,2
1052,88,0,8,3
1053,88,0,9,3
1054,88,0,10,3
1055,88,0,11,3
1056,88,0,12,3
1057,89,0,1,0
1058,89,0,2,1
1059,89,0,3,1
1060,89,0,4,2
1061,89,0,5,1
1062,89,0,6,2
1063,89,0,7,3
1064,89,0,8,3
1065,89,0,9,3
1066,89,0,10,3
1067,89,0,11,3
1068,89,0,12,3
1069,90,1,1,0
1070,90,1,2,2
1071,90,1,3,3
1072,90,1,4,1
1073,90,1,5,1
1074,90,1,6,1
1075,90,1,7,3
1076,90,1,8,2
1077,90,1,9,1
1078,90,1,10,1
1079,90,1,11,2
1080,90,1,12,1
1081,91,0,1,0
1082,91,0,2,0
1083,91,0,3,0
1084,91,0,4,0
1085,91,0,5,0
1086,91,0,6,1
1087,91,0,7,2
1088,91,0,8,0
1089,91,0,9,0
1090,91,0,10,0
1091,91,0,11,0
1092,91,0,12,0
1093,92,1,1,0
1094,92,1,2,0
1095,92,1,3,1
1096,92,1,4,1
1097,92,1,5,1
1098,92,1,6,1
1099,92,1,7,1
1100,92,1,8,0
1101,92,1,9,0
1102,92,1,10,1
1103,92,1,11,0
1104,92,1,12,0
1105,93,1,1,2
1106,93,1,2,0
1107,93,1,3,0
1108,93,1,4,2
1109,93,1,5,3
1110,93,1,6,3
1111,93,1,7,2
1112,93,1,8,2
1113,93,1,9,2
1114,93,1,10,1
1115,93,1,11,0
1116,93,1,12,0
1117,94,1,1,0
1118,94,1,2,2
1119,94,1,3,2
1120,94,1,4,1
1121,94,1,5,0
1122,94,1,6,0
1123,94,1,7,0
1124,94,1,8,1
1125,94,1,9,0
1126,94,1,10,0
1127,94,1,11,0
1128,94,1,12,0
1129,95,1,1,1
1130,95,1,2,1
1131,95,1,3,1
1132,95,1,4,1
1133,95,1,5,0
1134,95,1,6,1
1135,95,1,7,0
1136,95,1,8,1
1137,95,1,9,1
1138,95,1,10,0
1139,95,1,11,0
1140,95,1,12,1
1141,96,1,1,0
1142,96,1,2,0
1143,96,1,3,0
1144,96,1,4,2
1145,96,1,5,2
1146,96,1,6,3
1147,96,1,7,3
1148,96,1,8,0
1149,96,1,9,0
1150,96,1,10,1
1151,96,1,11,0
1152,96,1,12,1
1153,97,0,1,0
1154,97,0,2,0
1155,97,0,3,1
1156,97,0,4,2
1157,97,0,5,3
1158,97,0,6,3
1159,97,0,7,3
1160,97,0,8,3
1161,97,0,9,3
1162,97,0,10,3
1163,97,0,11,3
1164,97,0,12,3
1165,98,0,1,0
1166,98,0,2,0
1167,98,0,3,0
1168,98,0,4,0
1169,98,0,5,0
1170,98,0,6,0
1171,98,0,7,0
1172,98,0,8,0
1173,98,0,9,0
1174,98,0,10,0
1175,98,0,11,0
1176,98,0,12,0
1177,99,0,1,0
1178,99,0,2,0
1179,99,0,3,0
1180,99,0,4,0
1181,99,0,5,0
1182,99,0,6,0
1183,99,0,7,0
1184,99,0,8,0
1185,99,0,9,0
1186,99,0,10,0
1187,99,0,11,0
1188,99,0,12,1
1189,100,1,1,0
1190,100,1,2,1
1191,100,1,3,0
1192,100,1,4,0
1193,100,1,5,0
1194,100,1,6,2
1195,100,1,7,1
1196,100,1,8,0
1197,100,1,9,0
1198,100,1,10,0
1199,100,1,11,0
1200,100,1,12,0
1201,101,1,1,2
1202,101,1,2,2
1203,101,1,3,2
1204,101,1,4,2
1205,101,1,5,3
1206,101,1,6,2
1207,101,1,7,1
1208,101,1,8,1
1209,101,1,9,0
1210,101,1,10,1
1211,101,1,11,1
1212,101,1,12,1
1213,102,1,1,1
1214,102,1,2,1
1215,102,1,3,1
1216,102,1,4,0
1217,102,1,5,0
1218,102,1,6,1
1219,102,1,7,0
1220,102,1,8,1
1221,102,1,9,1
1222,102,1,10,0
1223,102,1,11,1
1224,102,1,12,1
1225,103,1,1,1
1226,103,1,2,0
1227,103,1,3,0
1228,103,1,4,0
1229,103,1,5,0
1230,103,1,6,0
1231,103,1,7,2
1232,103,1,8,2
1233,103,1,9,1
1234,103,1,10,0
1235,103,1,11,0
1236,103,1,12,2
1237,104,1,1,0
1238,104,1,2,0
1239,104,1,3,0
1240,104,1,4,0
1241,104,1,5,0
1242,104,1,6,0
1243,104,1,7,0
1244,104,1,8,1
1245,104,1,9,1
1246,104,1,10,0
1247,104,1,11,0
1248,104,1,12,0
1249,105,1,1,0
1250,105,1,2,1
1251,105,1,3,1
1252,105,1,4,0
1253,105,1,5,0
1254,105,1,6,1
1255,105,1,7,1
1256,105,1,8,0
1257,105,1,9,1
1258,105,1,10,1
1259,105,1,11,0
1260,105,1,12,0
1261,106,1,1,0
1262,106,1,2,0
1263,106,1,3,1
1264,106,1,4,1
1265,106,1,5,0
1266,106,1,6,0
1267,106,1,7,0
1268,106,1,8,0
1269,106,1,9,0
1270,106,1,10,2
1271,106,1,11,1
1272,106,1,12,0
1273,107,1,1,0
1274,107,1,2,0
1275,107,1,3,2
1276,107,1,4,1
1277,107,1,5,1
1278,107,1,6,1
1279,107,1,7,0
1280,107,1,8,0
1281,107,1,9,2
1282,107,1,10,1
1283,107,1,11,1
1284,107,1,12,1
1285,108,0,1,0
1286,108,0,2,1
1287,108,0,3,2
1288,108,0,4,3
1289,108,0,5,3
1290,108,0,6,3
1291,108,0,7,3
1292,108,0,8,3
1293,108,0,9,3
1294,108,0,10,3
1295,108,0,11,3
1296,108,0,12,3
1297,109,1,1,0
1298,109,1,2,0
1299,109,1,3,0
1300,109,1,4,1
1301,109,1,5,2
1302,109,1,6,1
1303,109,1,7,0
1304,109,1,8,0
1305,109,1,9,0
1306,109,1,10,1
1307,109,1,11,1
1308,109,1,12,1
1309,110,1,1,0
1310,110,1,2,0
1311,110,1,3,0
1312,110,1,4,2
1313,110,1,5,3
1314,110,1,6,2
1315,110,1,7,1
1316,110,1,8,1
1317,110,1,9,1
1318,110,1,10,1
1319,110,1,11,1
1320,110,1,12,0
1321,111,0,1,0
1322,111,0,2,0
1323,111,0,3,0
1324,111,0,4,0
1325,111,0,5,0
1326,111,0,6,0
1327,111,0,7,0
1328,111,0,8,0
1329,111,0,9,0
1330,111,0,10,0
1331,111,0,11,0
1332,111,0,12,0
1333,112,1,1,0
1334,112,1,2,2
1335,112,1,3,1
1336,112,1,4,0
1337,112,1,5,0
1338,112,1,6,2
1339,112,1,7,2
1340,112,1,8,0
1341,112,1,9,2
1342,112,1,10,2
1343,112,1,11,2
1344,112,1,12,1
1345,113,1,1,1
1346,113,1,2,0
1347,113,1,3,1
1348,113,1,4,0
1349,113,1,5,1
1350,113,1,6,0
1351,113,1,7,0
1352,113,1,8,0
1353,113,1,9,0
1354,113,1,10,1
1355,113,1,11,0
1356,113,1,12,0
1357,114,1,1,1
1358,114,1,2,3
1359,114,1,3,2
1360,114,1,4,1
1361,114,1,5,3
